Location,Map-Lot,Map,Lot,Land Area,Land Use Code,Land Use Category,Land Use Description,Existing Units,Mixed Use,Group Quarters,Grad Student Housing,Condo,Tax Status,Location 1
235 HURLEY ST,24-136,24,136,1450,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3685876187999, -71.0819202433)"
80 SPRING ST,24-137,24,137,1150,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3690398792999, -71.0817801357)"
98-100 SCIARAPPA ST,24-138,24,138,1850,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3689920029, -71.0818511435)"
260-278 CAMBRIDGE ST,24-139,24,139,20000,337,Transportation,PARKING-LOT,0, , , , , ,"(42.3708606045, -71.0803562538)"
60 SPRING ST,24-14,24,14,757,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3688890697999, -71.0807782079999)"
58 1/2 SPRING ST,24-15,24,15,752,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3688805632, -71.0807118884)"
58 SPRING ST,24-16,24,16,800,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3688733852999, -71.0806534121999)"
56 SPRING ST,24-17,24,17,800,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3688657351, -71.0805942159)"
54 SPRING ST,24-18,24,18,752,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3688578351, -71.0805320454999)"
52 SPRING ST,24-19,24,19,587,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3688551246999, -71.0804807064999)"
106 SCIARAPPA ST,24-2,24,2,2340,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3687600192, -71.0818824656)"
145 THIRD ST,24-20,24,20,3734,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3687335736999, -71.0806392463999)"
153 THIRD ST,24-21,24,21,4300,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3685994947, -71.0807087318)"
157 THIRD ST,24-22,24,22,2668,0104,Mixed Use Residential,MXD TWO-FAM-RES,2,groundfloor, , , , ,"(42.3684561241, -71.0807001191)"
197 HURLEY ST,24-23,24,23,1300,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3684825646, -71.0808469042)"
62 COOLIDGE AVE,242-33,242,33,26990,940,Education,Private Pre & Elem School,0, , , , ,Educ NonTax,"(42.3715429116, -71.1395057272)"
50 COOLIDGE AVE,242-34,242,34,137200,953,Cemetery,Cemeteries,0, , , , ,City NonTax,"(42.3706639704999, -71.1396408938999)"
40 COOLIDGE HILL,242-36,242,36,81448,941,Education,Private Secondary School,0, , , , ,Educ NonTax,"(42.3707032155, -71.1367702141999)"
178 COOLIDGE HILL,242-38,242,38,448329,940,Education,Private Pre & Elem School,0, , , , ,Educ NonTax,"(42.3712539277999, -71.1378976844)"
201 HURLEY ST,24-24,24,24,2100,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3685219743, -71.0809516212)"
207 HURLEY ST,24-27,24,27,965,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3686890871, -71.0811686839)"
141 COOLIDGE HILL,242A-100,242A,100,20000,1014,Residential,SINGLE FAM W/AU,2, , , , , ,"(42.3725001148999, -71.1395833562999)"
127 COOLIDGE HILL,242A-102,242A,102,13854,130,Vacant,RES-DEV-LAND,0, , , , , ,"(42.3732583872, -71.1378437873)"
75 COOLIDGE HILL,242A-105,242A,105,11672,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3724708454999, -71.1373913496999)"
115 COOLIDGE HILL,242A-107,242A,107,9141,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3734866651, -71.13873945)"
125 COOLIDGE HILL,242A-109,242A,109,9185,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3733586454, -71.1381488491)"
151 COOLIDGE HILL,242A-110,242A,110,10897,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3725619968999, -71.1391424412999)"
155 COOLIDGE HILL,242A-111,242A,111,10682,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3726477251999, -71.1388390677)"
30 COOLIDGE AVE,242A-112,242A,112,9289,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3728258813, -71.1396908285999)"
106 COOLIDGE HILL,242A-113,242A,113,9062,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3728446432999, -71.1393828756)"
148 COOLIDGE HILL,242A-115,242A,115,20738,1014,Residential,SINGLE FAM W/AU,2, , , , , ,"(42.3720304455999, -71.1392365940999)"
154 COOLIDGE HILL,242A-116,242A,116,16934,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3721465934999, -71.1387703147999)"
45 COOLIDGE HILL RD,242A-119,242A,119,5851,101,Residential,SNGL-FAM-RES,2, , , , , ,"(42.3738373512999, -71.1391558989)"
20 COOLIDGE HILL RD,242A-120,242A,120,9056,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3740182781999, -71.1391651689)"
20 COOLIDGE AVE,242A-123,242A,123,8431,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3735173493, -71.1395647084)"
19 COOLIDGE HILL RD,242A-124,242A,124,4075,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3743149493, -71.1389387164)"
44 COOLIDGE AVE,242A-126,242A,126,8017,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3718309428, -71.1397205552)"
144 COOLIDGE HILL,242A-127,242A,127,10819,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3720593088999, -71.1397167715)"
15 COOLIDGE HILL RD,242A-128,242A,128,4670,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3742920704999, -71.1387619130999)"
9 COOLIDGE HILL RD,242A-129,242A,129,4653,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3742601674, -71.1385376294)"
126 COOLIDGE HILL,242A-131,242A,131,11306,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3729766033, -71.1384507905)"
177 COOLIDGE HILL,242A-132,242A,132,12717,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3727316040999, -71.1372201478999)"
