Location,Map-Lot,Map,Lot,Land Area,Land Use Code,Land Use Category,Land Use Description,Existing Units,Mixed Use,Group Quarters,Grad Student Housing,Condo,Tax Status,Location 1
189 HAMILTON ST,102-144,102,144,2470,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3600308346, -71.1084402143)"
247-249 PEARL ST,102-145,102,145,11019,111,Residential,4-8-UNIT-APT,4, , , , , ,"(42.3588723753999, -71.1093328184)"
203 ALLSTON ST,102-146,102,146,2894,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3591932121, -71.1089094152)"
273 PEARL ST,102-17,102,17,9847,0111,Mixed Use Residential,MXD 4-8-UNIT-AP,7,groundfloor, , , , ,"(42.3582428416, -71.1099690384999)"
279 PEARL ST,102-18,102,18,5000,111,Residential,4-8-UNIT-APT,6, , , , , ,"(42.358082344, -71.1101308575999)"
281 PEARL ST,102-19,102,19,4500,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3579773781999, -71.1102436533)"
134 MAGAZINE ST,102-2,102,2,14519,943,Higher Education,Other Educ & Research Org,1, , , , ,Educ NonTax,"(42.3585449834, -71.1112393740999)"
287 PEARL ST,102-20,102,20,4000,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3578830505, -71.1103427799999)"
289 PEARL ST,102-21,102,21,6586,111,Residential,4-8-UNIT-APT,6, , , ,YES, ,"(42.3577699817, -71.1104615982)"
124-126 MAGAZINE ST,102-23,102,23,8148,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3592916944, -71.1104572023999)"
118 MAGAZINE ST,102-25,102,25,3651,340,Office,GEN-OFFICE,0, , , , , ,"(42.3596433999, -71.1102831062)"
228 ALLSTON ST,102-26,102,26,8611,111,Residential,4-8-UNIT-APT,5, , , , , ,"(42.3593148989, -71.109981051)"
226 ALLSTON ST,102-27,102,27,2958,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.359339376, -71.1097196533)"
1 ALLSTON CT,102-28,102,28,2250,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3592166154, -71.1098491114999)"
3 ALLSTON CT,102-29,102,29,2544,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3591009553, -71.1099567638)"
4 ALLSTON CT,102-30,102,30,2448,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3590157788, -71.1098062333)"
2 ALLSTON CT,102-31,102,31,2241,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3591183254999, -71.1096848429999)"
214 ALLSTON ST,102-32,102,32,2933,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3592445379999, -71.1095543872)"
212 ALLSTON ST,102-33,102,33,8318,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3590575476999, -71.1095250297999)"
251 PEARL ST,102-37,102,37,5850,111,Residential,4-8-UNIT-APT,6, , , , , ,"(42.3587150100999, -71.1094999098999)"
255-257 PEARL ST,102-38,102,38,5865,111,Residential,4-8-UNIT-APT,5, , , , , ,"(42.3586049285, -71.1096135358999)"
130 MAGAZINE ST,102-4,102,4,11250,960,Charitable/Religious,Religious,0, , , , ,Religious NonTax,"(42.3588260884, -71.1109269808)"
472 PUTNAM AVE,102-43,102,43,3500,111,Residential,4-8-UNIT-APT,8, , , , , ,"(42.3587430778, -71.1100889182999)"
466 PUTNAM AVE,102-44,102,44,6625,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3588956859999, -71.1101649987)"
460-462 PUTNAM AVE,102-45,102,45,8225,111,Residential,4-8-UNIT-APT,5, , , , , ,"(42.3589945331999, -71.1103218662999)"
116 MAGAZINE ST,102-46,102,46,2040,325,Commercial,RETAIL-STORE,0, , , , , ,"(42.3598206121, -71.1100363787)"
114 MAGAZINE ST,102-47,102,47,2040,0105,Mixed Use Residential,MXD THREE-FM-RE,3,groundfloor, , , , ,"(42.3598827645, -71.1099663811999)"
108 MAGAZINE ST,102-50,102,50,1222,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3600794134, -71.1097717730999)"
106 MAGAZINE ST,102-51,102,51,1108,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3601215878, -71.1097272008999)"
104 MAGAZINE ST,102-52,102,52,1120,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3601613841999, -71.1096830725)"
102 MAGAZINE ST,102-53,102,53,1102,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3602009697, -71.1096398911)"
100 MAGAZINE ST,102-54,102,54,1493,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3602503931, -71.1095872366)"
210 HAMILTON ST,102-58,102,58,4127,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3599667745999, -71.1092756002999)"
202 HAMILTON ST,102-60,102,60,5685,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3598469878999, -71.1091632323)"
192 HAMILTON ST,102-62,102,62,2684,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3596983244, -71.1089090204999)"
190 HAMILTON ST,102-63,102,63,4111,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.359659645, -71.1087906852)"
174 HAMILTON ST,102-64,102,64,5020,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3595693947, -71.1085311750999)"
219-221 PEARL ST,102-65,102,65,6173,111,Residential,4-8-UNIT-APT,4, , , ,YES, ,"(42.3594742539999, -71.1086886461999)"
215 ALLSTON ST,102-68,102,68,6050,105,Residential,THREE-FM-RES,3, , , , , ,"(42.359522574, -71.1092631751999)"
225 ALLSTON ST,102-69,102,69,5500,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3596103539, -71.1094186487)"
231 ALLSTON ST,102-70,102,70,5713,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3596948973999, -71.1095692405999)"
237 ALLSTON ST,102-71,102,71,2890,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3597313109999, -71.1097534210999)"
239 ALLSTON ST,102-72,102,72,1857,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3597861877, -71.1098529295999)"
211-221 HAMILTON ST,102-73,102,73,8094,111,Residential,4-8-UNIT-APT,6, , , ,YES, ,"(42.360395869, -71.1092976081999)"
92 MAGAZINE ST,102-76,102,76,2886,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3604992989999, -71.1091818020999)"
226 ERIE ST,102-77,102,77,6216,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3606784624999, -71.1091047365)"
220 ERIE ST,102-78,102,78,8843,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3605490086999, -71.1088893839)"
216 ERIE ST,102-79,102,79,5000,111,Residential,4-8-UNIT-APT,4, , , , , ,"(42.3604289685, -71.1086890787999)"
175 CHESTNUT ST,102-8,102,8,5073,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3581407580999, -71.1110133080999)"
210 ERIE ST,102-80,102,80,5015,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3603433279999, -71.1085455237)"
202-204 ERIE ST,102-81,102,81,5090,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3602575237, -71.1084016962)"
200 ERIE ST,102-82,102,82,4900,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3601725876999, -71.1082578216999)"
203 PEARL ST,102-85,102,85,5041,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3598778711999, -71.1082133098)"
209 PEARL ST,102-86,102,86,5010,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3597719926, -71.1083263993999)"
199 HAMILTON ST,102-88,102,88,5000,111,Residential,4-8-UNIT-APT,4, , , ,YES, ,"(42.3601262481999, -71.1087739103)"
205-207 HAMILTON ST,102-89,102,89,5000,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3602138998, -71.1089203617)"
179 CHESTNUT ST,102-9,102,9,5040,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3582240089, -71.1111613348)"
209 HAMILTON ST,102-90,102,90,4000,111,Residential,4-8-UNIT-APT,8, , , , , ,"(42.3602919093, -71.1090523028999)"
198 ALLSTON ST,102-91,102,91,4615,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3590672791999, -71.1092026140999)"
165 CHESTNUT ST,102-93,102,93,3567,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3579833697, -71.1107755034999)"
159 CHESTNUT ST,102-94,102,94,3683,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3579118672999, -71.1106502349999)"
237 PEARL ST,102-97,102,97,2047,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3589619918, -71.1090444748)"
12 NEWTON ST,102-99,102,99,3082,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3580749767999, -71.1105749177999)"
12 CHARLES ST,10-30,10,30,3500,424,Utility,PUB UTIL REG,0, , , , , ,"(42.3670894688, -71.0781808177)"
84 MAGAZINE ST,103-1,103,1,7500,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3609203149, -71.1087458485)"
121 FIRST ST,10-31,10,31,6500,316,Commercial,WAREHOUSE,0, , , , , ,"(42.3670659193999, -71.0780005362999)"
16A-18A COTTAGE ST,103-100,103,100,2520,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3625420898, -71.1064892823)"
31 LAWRENCE ST,103-101,103,101,4698,111,Residential,4-8-UNIT-APT,4, , , ,YES, ,"(42.3618451967999, -71.1073881235)"
27 LAWRENCE ST,103-102,103,102,5162,111,Residential,4-8-UNIT-APT,4, , , ,YES, ,"(42.3617590034999, -71.1072460782)"
9 CORPORAL MCTERNAN ST,103-103,103,103,1291,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3610349379, -71.1072587178999)"
7 CORPORAL MCTERNAN ST,103-104,103,104,1285,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3609911026, -71.1073337679)"
5 CORPORAL MCTERNAN ST,103-105,103,105,1709,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3609100728, -71.1073832964)"
18 COTTAGE ST,103-106,103,106,2217,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3626897385999, -71.1063986818)"
16 COTTAGE ST,103-107,103,107,2163,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3626378690999, -71.1063131961)"
20 COTTAGE ST,103-108,103,108,1949,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3627634833, -71.1065205556)"
20A COTTAGE ST,103-109,103,109,2535,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3626352224, -71.1066413740999)"
15 PERRY ST,103-110,103,110,4379,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3621719850999, -71.1065496175999)"
13 PERRY ST,103-111,103,111,2208,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3623156876, -71.1063941771)"
189 PEARL ST,103-112,103,112,5000,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3602917199999, -71.1076453864999)"
12 CORPORAL MCTERNAN ST,103-113,103,113,30019,112,Residential,>8-UNIT-APT,42, , , ,YES, ,"(42.3607195312999, -71.1077703831)"
9 CORPORAL MCTERNAN ST,103-114,103,114,364,106,Transportation,RES-LAND-IMP,0, , , , , ,"(42.3609273086999, -71.1074925182)"
7 CORPORAL MCTERNAN ST,103-115,103,115,351,106,Transportation,RES-LAND-IMP,0, , , , , ,"(42.3609038442999, -71.1074551764999)"
195 ERIE ST,103-13,103,13,5000,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3603784117999, -71.1077853542)"
199 ERIE ST,103-14,103,14,9001,111,Residential,4-8-UNIT-APT,4, , , ,YES, ,"(42.3605001757999, -71.1079867636999)"
209 ERIE ST,103-16,103,16,3515,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3606089577999, -71.1081655371)"
211 ERIE ST,103-17,103,17,2537,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3606621165, -71.1082511428)"
215 ERIE ST,103-18,103,18,4989,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3607294737999, -71.1083597165)"
217 ERIE ST,103-19,103,19,5030,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3608172578, -71.1085036961)"
106-108 SECOND ST,10-32,10,32,19995,112,Residential,>8-UNIT-APT,32, , , , , ,"(42.3677796002, -71.0790254327999)"
MAGAZINE ST,103-20,103,20,60515,920,Public Open Space,Parklands,0, , , , ,City NonTax,"(42.3613847087, -71.1077446269)"
12 LAWRENCE ST,103-22,103,22,5025,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3611846360999, -71.1071173203)"
155 PEARL ST,103-24,103,24,4582,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3610074711999, -71.1069696186)"
163 PEARL ST,103-25,103,25,4620,111,Residential,4-8-UNIT-APT,5, , , , , ,"(42.3609006702, -71.1070863594)"
169 PEARL ST,103-26,103,26,4609,111,Residential,4-8-UNIT-APT,4, , , ,YES, ,"(42.3607953225999, -71.1072038713)"
60 MAGAZINE ST,103-29,103,29,6121,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3620624635999, -71.1074919279)"
26 CORPORAL MCTERNAN ST,103-3,103,3,5058,112,Residential,>8-UNIT-APT,12, , , , , ,"(42.3612119358, -71.1084267056999)"
29 CHARLES ST,10-33,10,33,20005,130,Vacant Residential,RES-DEV-LAND,0, , , , , ,"(42.3676986189, -71.0786717838)"
56 MAGAZINE ST,103-30,103,30,7750,960,Charitable/Religious,Religious,0, , , , ,Religious NonTax,"(42.3622055563999, -71.1073313575)"
18 PERRY ST,103-31,103,31,4747,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3620554747, -71.1071492675)"
12 PERRY ST,103-32,103,32,10000,111,Residential,4-8-UNIT-APT,5, , , ,YES, ,"(42.3619257002999, -71.1069364467)"
10 PERRY ST,103-33,103,33,4814,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3617952231999, -71.1067211992999)"
8 PERRY ST,103-34,103,34,5325,111,Residential,4-8-UNIT-APT,4, , , , , ,"(42.3617035826, -71.1065782923)"
6 PERRY ST,103-35,103,35,1642,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3616862682, -71.1063953147999)"
133 PEARL ST,103-36,103,36,3400,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3616008206999, -71.1062551197999)"
22 CORPORAL MCTERNAN ST,103-4,103,4,4938,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3610276621, -71.1082711713)"
18 HURLEY ST,10-34,10,34,6945,340,Office,GEN-OFFICE,0, , , , , ,"(42.3678426194, -71.0782594928)"
11 LAWRENCE ST,103-41,103,41,2385,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3614659331, -71.1067773031)"
21-23 LAWRENCE ST,103-44,103,44,5160,111,Residential,4-8-UNIT-APT,4, , , ,YES, ,"(42.3616697515, -71.1070985299)"
23 PERRY ST,103-48,103,48,3500,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3624084169, -71.1071027282)"
50 MAGAZINE ST,103-49,103,49,3500,105,Residential,THREE-FM-RES,3, , , , , ,"(42.362484504, -71.1070237580999)"
21 CHARLES ST,10-35,10,35,17035,325,Commercial,RETAIL-STORE,0, , , , , ,"(42.3675759489999, -71.0783558432)"
48 MAGAZINE ST,103-50,103,50,3950,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3625648144, -71.1069370943999)"
24 COTTAGE ST,103-52,103,52,4220,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3628742455999, -71.1066464183)"
14 COTTAGE ST,103-55,103,55,5739,111,Residential,4-8-UNIT-APT,4, , , ,YES, ,"(42.3625210598, -71.1062537712)"
12 COTTAGE ST,103-56,103,56,6000,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3624295302999, -71.1061128252)"
10 COTTAGE ST,103-57,103,57,5040,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3623474951999, -71.1059812199)"
8 COTTAGE ST,103-58,103,58,2200,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3623503869999, -71.1057881237999)"
1 COTTAGE CT,103-59,103,59,1000,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3622670427999, -71.1058816838999)"
5 COTTAGE CT,103-60,103,60,1779,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3621897123, -71.1059659778999)"
115R PEARL ST,103-61,103,61,1929,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3620931783, -71.1058227335)"
2 COTTAGE CT,103-62,103,62,956,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3621850418999, -71.1057604606999)"
6 COTTAGE ST,103-63,103,63,1362,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3622807568999, -71.1056680565999)"
107 PEARL ST,103-64,103,64,2580,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3622197859, -71.1055466982)"
109 PEARL ST,103-65,103,65,1976,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3621264336999, -71.1056398518999)"
115 PEARL ST,103-66,103,66,1840,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3620196086, -71.1057352856)"
119 PEARL ST,103-67,103,67,5908,111,Residential,4-8-UNIT-APT,5, , , , , ,"(42.3619656070999, -71.1059355035999)"
107 FIRST ST,10-37,10,37,16000,345,Office,RETAIL-OFFIC,0, , , , , ,"(42.3676701057, -71.0779209589999)"
11 PERRY ST,103-70,103,70,6403,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3621314465, -71.1063574925999)"
17 PERRY ST,103-72,103,72,6770,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3623079627, -71.1066385098999)"
19 PERRY ST,103-73,103,73,6514,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3623945176999, -71.1067739304999)"
42 MAGAZINE ST,103-74,103,74,4494,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3627609548999, -71.1067700965)"
44 MAGAZINE ST,103-75,103,75,3513,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3626483234, -71.1068555658)"
66 MAGAZINE ST,103-78,103,78,4617,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3619517663999, -71.1076751598999)"
35 LAWRENCE ST,103-79,103,79,1560,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3618678416, -71.1075372375999)"
131-137 FIRST ST,10-38,10,38,6919,390,Vacant Commercial,COM-DEV-LAND,0, , , , , ,"(42.3668422053999, -71.0781155301999)"
125 PEARL ST,103-83,103,83,3216,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3617986054999, -71.1060162777999)"
10 LAWRENCE ST,103-84,103,84,1735,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3611631168, -71.1069362039999)"
4 LAWRENCE ST,103-85,103,85,2836,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3610830277999, -71.1068029346999)"
5 PERRY ST,103-86,103,86,2784,105,Residential,THREE-FM-RES,3, , , , , ,"(42.361887391, -71.1061585829999)"
17 LAWRENCE ST,103-87,103,87,4318,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3615858132, -71.106961583)"
15 LAWRENCE ST,103-88,103,88,3213,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3615195333999, -71.1068535248)"
80 MAGAZINE ST,103-89,103,89,2846,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3611437396999, -71.1085833069)"
139 FIRST ST,10-39,10,39,3081,337,Transportation,PARKING-LOT,0, , , , , ,"(42.3667085244, -71.0781488445)"
82 MAGAZINE ST,103-90,103,90,4654,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3610102561, -71.1085707434999)"
141 PEARL ST,103-92,103,92,4388,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3614241989, -71.1065113503999)"
135-139 PEARL ST,103-93,103,93,4654,111,Residential,4-8-UNIT-APT,6, , , ,YES, ,"(42.3615283131, -71.1064241952999)"
9 LAWRENCE ST,103-94,103,94,1707,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3613833479, -71.1067418197)"
145 PEARL ST,103-95,103,95,4293,111,Residential,4-8-UNIT-APT,6, , , , , ,"(42.3612964944, -71.1066006337999)"
9 PERRY ST,103-97,103,97,3037,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3620662306, -71.1062499705)"
7 PERRY ST,103-98,103,98,3161,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3620158614999, -71.1061822143)"
1-3 KELLY RD,104-102,104,102,2701,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.362106376, -71.1083162428)"
63 MAGAZINE ST,104-103,104,103,4081,111,Residential,4-8-UNIT-APT,4, , , , , ,"(42.3620867126999, -71.1081127573999)"
69 MAGAZINE ST,104-104,104,104,2949,111,Residential,4-8-UNIT-APT,4, , , , , ,"(42.3619706444, -71.1082235424999)"
31 CHALK ST,104-106,104,106,2229,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3621281289999, -71.1098964647)"
9 UPTON ST,104-109,104,109,35508,934,Education,Public Schools,0, , , , ,City NonTax,"(42.3630440186, -71.1082683658)"
14 CHALK ST,104-11,104,11,4140,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3615423251999, -71.109596029)"
2 PLEASANT PL,104-110,104,110,3638,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3634466667, -71.1086328323)"
4 PLEASANT PL,104-111,104,111,1322,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.363369546, -71.1085008545999)"
41 MAGAZINE ST,104-112,104,112,4740,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3630114163999, -71.1071501684999)"
30 KELLY RD,104-114,104,114,3725,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3623874111, -71.1095958022)"
14-16 KELLY RD,104-116,104,116,6534,111,Residential,4-8-UNIT-APT,4, , , , , ,"(42.3620681331, -71.1090574406999)"
30 UPTON ST,104-119,104,119,2316,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3629370629999, -71.108988994)"
11 KELLY RD,104-122,104,122,7008,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3622706573, -71.1085634303999)"
5 KELLY RD,104-123,104,123,4000,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3621769212, -71.1084062436)"
30 CHALK ST,104-124,104,124,4000,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3618825651999, -71.1100971081999)"
25 FAIRMONT ST,104-126,104,126,6000,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3616695987999, -71.1103301025)"
12 CHALK ST,104-127,104,127,3227,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3614809270999, -71.1094920836)"
89 MAGAZINE ST,104-129,104,129,4000,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3609639618999, -71.1093668525)"
9 FAIRMONT ST,104-130,104,130,37419,112,Residential,>8-UNIT-APT,68, , , , ,Authority NonTax,"(42.3612467299999, -71.1094040078999)"
24 KELLY RD,104-131,104,131,4954,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3622347427999, -71.1093292934999)"
28 KELLY RD,104-132,104,132,4660,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3623108712, -71.1094761827)"
55 MAGAZINE ST,104-133,104,133,32350,112,Residential,>8-UNIT-APT,49, , , ,YES, ,"(42.3627300419, -71.1076469790999)"
46 COTTAGE ST,104-134,104,134,1984,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3636059808, -71.1079179720999)"
48 COTTAGE ST,104-135,104,135,2064,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3636591564999, -71.1079966302999)"
29 FAIRMONT ST,104-137,104,137,2030,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3616661997999, -71.1105430041999)"
98 PLEASANT ST,104-139,104,139,2487,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3617456162999, -71.11067405)"
15 FAIRMONT ST,104-14,104,14,4700,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3614081587, -71.1099620675999)"
60-62 PLEASANT ST,104-140,104,140,4580,111,Residential,4-8-UNIT-APT,6, , , ,YES, ,"(42.3629101119, -71.1091998297)"
64 PLEASANT ST,104-141,104,141,4180,111,Residential,4-8-UNIT-APT,6, , , , , ,"(42.3628226244999, -71.1093364056)"
21 KELLY RD,104-142,104,142,2526,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3624737164999, -71.1090196341999)"
23A KELLY RD,104-143,104,143,2485,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3625829683, -71.1088970863)"
46 PLEASANT ST,104-144,104,144,2506,957,Charitable/Religious,Charitable Services,0, , , , ,Other NonTax,"(42.3637068707, -71.1083521127)"
48 PLEASANT ST,104-145,104,145,2471,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3636198848999, -71.1084537655)"
25 KELLY RD,104-146,104,146,3150,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3625749962999, -71.1091804165999)"
25R KELLY RD,104-147,104,147,3071,105,Residential,THREE-FM-RES,3, , , , , ,"(42.362702204, -71.1091100887999)"
18 CHALK ST,104-148,104,148,1740,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3615503281, -71.1097774046999)"
16 CHALK ST,104-149,104,149,2243,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.361658622, -71.1096601695)"
21 UPTON ST,104-150,104,150,1585,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3631225437, -71.1087699516999)"
54 PLEASANT ST,104-151,104,151,3514,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3632311575999, -71.1088912807999)"
19 FAIRMONT ST,104-152,104,152,1887,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3614304608, -71.1101450646)"
19A FAIRMONT ST,104-153,104,153,1857,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3615355262, -71.1100285401)"
72-74 PLEASANT ST,104-154,104,154,3078,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3624186931999, -71.1098312596)"
45-49 MAGAZINE ST,104-155,104,155,4996,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3627893195999, -71.1073452355999)"
